,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6113,1597060821529:d6187a22-6335-438e-89da-389ce56ba2f0,1597060821529:69b55488-7ab2-4cd5-9eeb-322d0e5ba3cd,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6114,1597060821529:d6187a22-6335-438e-89da-389ce56ba2f0,1597060821529:69b55488-7ab2-4cd5-9eeb-322d0e5ba3cd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6115,1597060821529:d6187a22-6335-438e-89da-389ce56ba2f0,1597060821529:69b55488-7ab2-4cd5-9eeb-322d0e5ba3cd,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6117,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:e8235929-234d-44cc-8c3a-cc5016f1477a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6118,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:e8235929-234d-44cc-8c3a-cc5016f1477a,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6119,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:e8235929-234d-44cc-8c3a-cc5016f1477a,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6121,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:a020739e-8e14-4fa3-8290-b470f1ee9419,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6122,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:a020739e-8e14-4fa3-8290-b470f1ee9419,3,False,0.0,class java.lang.Float,push,class java.lang.Float,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6123,1597060821529:bf86ff42-019e-48d9-b765-1f68b7dedf0b,1597060821529:a020739e-8e14-4fa3-8290-b470f1ee9419,4,False,1.0,class java.lang.Double,push,class java.lang.Double,Yes,3,False,0.0,class java.lang.Float,push,class java.lang.Float
6125,1597060821529:494f593e-5a03-4565-9bf7-2879baa9103e,1597060821529:d39cd72d-ecdb-404b-ba91-d0017f1a16fd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
