,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId
242,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:99ebb205-ada5-45b1-b638-e856d685d0c8
244,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:99ebb205-ada5-45b1-b638-e856d685d0c8
245,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:99ebb205-ada5-45b1-b638-e856d685d0c8
253,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:46287239-1d7a-41b5-a6cb-ec485e5cd351
265,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:382d0596-1674-4b10-93ee-1b51c92242ab
286,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058049:56e90097-a8ce-4d8c-ae19-9f4bfb7679db,1596542058049:ea3f6a48-7880-40c8-b8f9-fdf609ced3c7
304,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058049:56e90097-a8ce-4d8c-ae19-9f4bfb7679db,1596542058049:57131b55-4b41-44ca-ad88-40592237a84c
311,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058049:56e90097-a8ce-4d8c-ae19-9f4bfb7679db,1596542058049:4e956f3c-40c2-446c-8aa5-3a87bf7957ff
327,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
328,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
329,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
330,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
331,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
334,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
